## System ID,Tag Name,Retentive Mode,Initial Value,MODBUS Start Address,MODBUS End Address,Number of Characters,Number of Rows,Number of Columns,Wiring Label,Comment,Forceable,Init Forced,Init Force Value
## 2.0,,,,,,,,,,,,,
C-000011,MainSwitch,FALSE,0,1,1,,,,,,FALSE,FALSE,0
C-000012,FeederSwitch,FALSE,0,4,4,,,,,,FALSE,FALSE,0
C-000013,VentSwitch,FALSE,0,5,5,,,,,,FALSE,FALSE,0
C-000016,NozzleSelect,FALSE,0,6,6,,,,,,FALSE,FALSE,0
C-000215,XAxis.InProgress,FALSE,0,7,7,,,,,,FALSE,FALSE,0
C-000216,XAxis.Complete,FALSE,0,8,8,,,,,,FALSE,FALSE,0
C-000217,YAxis.InProgress,FALSE,0,9,9,,,,,,FALSE,FALSE,0
C-000218,YAxis.Complete,FALSE,0,10,10,,,,,,FALSE,FALSE,0
C-000219,ZAxis.InProgress,FALSE,0,11,11,,,,,,FALSE,FALSE,0
C-000220,ZAxis.Complete,FALSE,0,12,12,,,,,,FALSE,FALSE,0
C-000019,Shutter,FALSE,0,13,13,,,,,,FALSE,FALSE,0
C-000022,Open,FALSE,0,14,14,,,,,,FALSE,FALSE,0
C-000023,Partial,FALSE,0,15,15,,,,,,FALSE,FALSE,0
C-000034,MechPumpStart,FALSE,0,28,28,,,,,,FALSE,FALSE,0
C-000036,MechPumpStop,FALSE,0,29,29,,,,,,FALSE,FALSE,0
C-000038,BoosterPumpStart,FALSE,0,30,30,,,,,,FALSE,FALSE,0
C-000039,BoosterPumpStop,FALSE,0,31,31,,,,,,FALSE,FALSE,0
C-000221,MoveX,FALSE,0,32,32,,,,,,FALSE,FALSE,0
C-000222,MoveY,FALSE,0,33,33,,,,,,FALSE,FALSE,0
C-000223,MoveZ,FALSE,0,34,34,,,,,,FALSE,FALSE,0
C-000235,XYMove.InProgress,FALSE,0,35,35,,,,,,FALSE,FALSE,0
C-000236,XYMove.Complete,FALSE,0,36,36,,,,,,FALSE,FALSE,0
C-000234,MoveXY,FALSE,0,37,37,,,,,,FALSE,FALSE,0
C-000252,SetHome,FALSE,0,47,47,,,,,,FALSE,FALSE,0
S32-000001,MainGasPressure,FALSE,0,400001,400002,,,,,,FALSE,FALSE,0
S32-000541,XYMove.Status,FALSE,0,400003,400004,,,,,,FALSE,FALSE,0
S32-000223,AMC.Ax1Position,TRUE,0,400031,400032,,,,,,FALSE,FALSE,0
S32-000229,AMC.Ax2Position,TRUE,0,400033,400034,,,,,,FALSE,FALSE,0
S32-000235,AMC.Ax3Position,TRUE,0,400035,400036,,,,,,FALSE,FALSE,0
S32-000491,XAxis.Target,FALSE,0,400037,400038,,,,,,FALSE,FALSE,0
S32-000492,XAxis.Velocity,FALSE,0,400039,400040,,,,,,FALSE,FALSE,0
S32-000493,XAxis.Accel,FALSE,0,400041,400042,,,,,,FALSE,FALSE,0
S32-000501,XAxis.Status,FALSE,0,400043,400044,,,,,,FALSE,FALSE,0
S32-000505,YAxis.Target,FALSE,0,400045,400046,,,,,,FALSE,FALSE,0
S32-000506,YAxis.Velocity,FALSE,0,400047,400048,,,,,,FALSE,FALSE,0
S32-000507,YAxis.Accel,FALSE,0,400049,400050,,,,,,FALSE,FALSE,0
S32-000515,YAxis.Status,FALSE,0,400051,400052,,,,,,FALSE,FALSE,0
S32-000519,ZAxis.Target,FALSE,0,400053,400054,,,,,,FALSE,FALSE,0
S32-000520,ZAxis.Velocity,FALSE,0,400055,400056,,,,,,FALSE,FALSE,0
S32-000521,ZAxis.Accel,FALSE,0,400057,400058,,,,,,FALSE,FALSE,0
S32-000529,ZAxis.Status,FALSE,0,400059,400060,,,,,,FALSE,FALSE,0
S32-000494,XAxis.Decel,FALSE,0,400061,400062,,,,,,FALSE,FALSE,0
S32-000508,YAxis.Decel,FALSE,0,400063,400064,,,,,,FALSE,FALSE,0
S32-000522,ZAxis.Decel,FALSE,0,400065,400066,,,,,,FALSE,FALSE,0
AOS32-0.1.2.1,AOS32-0.1.2.1,FALSE,0,400067,400068,,,,,,FALSE,FALSE,0
AOS32-0.1.2.2,AOS32-0.1.2.2,FALSE,0,400069,400070,,,,,,FALSE,FALSE,0
AOS32-0.1.2.3,AOS32-0.1.2.3,FALSE,0,400071,400072,,,,,,FALSE,FALSE,0
AOS32-0.1.2.4,AOS32-0.1.2.4,FALSE,0,400073,400074,,,,,,FALSE,FALSE,0
AOS32-0.1.6.1,AOS32-0.1.6.1,FALSE,0,400075,400076,,,,,,FALSE,FALSE,0
AOS32-0.1.6.2,AOS32-0.1.6.2,FALSE,0,400077,400078,,,,,,FALSE,FALSE,0
AOS32-0.1.6.3,AOS32-0.1.6.3,FALSE,0,400079,400080,,,,,,FALSE,FALSE,0
AOS32-0.1.6.4,AOS32-0.1.6.4,FALSE,0,400081,400082,,,,,,FALSE,FALSE,0
AOS32-0.1.6.5,AOS32-0.1.6.5,FALSE,0,400083,400084,,,,,,FALSE,FALSE,0
AOS32-0.1.6.6,AOS32-0.1.6.6,FALSE,0,400085,400086,,,,,,FALSE,FALSE,0
AOS32-0.1.6.7,AOS32-0.1.6.7,FALSE,0,400087,400088,,,,,,FALSE,FALSE,0
AOS32-0.1.6.8,AOS32-0.1.6.8,FALSE,0,400089,400090,,,,,,FALSE,FALSE,0
S32-000221,AMC.ModuleStatus,FALSE,0,400091,400092,,,,,,FALSE,FALSE,0
S32-000225,AMC.Ax1Velocity,FALSE,0,400093,400094,,,,,,FALSE,FALSE,0
S32-000226,AMC.Ax1ResetPosition,FALSE,0,400095,400096,,,,,,FALSE,FALSE,0
S32-000227,AMC.Ax1AxisStatus,FALSE,0,400097,400098,,,,,,FALSE,FALSE,0
S32-000231,AMC.Ax2Velocity,FALSE,0,400099,400100,,,,,,FALSE,FALSE,0
S32-000232,AMC.Ax2ResetPosition,FALSE,0,400101,400102,,,,,,FALSE,FALSE,0
S32-000233,AMC.Ax2AxisStatus,FALSE,0,400103,400104,,,,,,FALSE,FALSE,0
S32-000237,AMC.Ax3Velocity,FALSE,0,400105,400106,,,,,,FALSE,FALSE,0
S32-000238,AMC.Ax3ResetPosition,FALSE,0,400107,400108,,,,,,FALSE,FALSE,0
S32-000002,RegulatorPressure,FALSE,0,400109,400110,,,,,,FALSE,FALSE,0
S32-000003,FeederPressure,FALSE,0,400111,400112,,,,,,FALSE,FALSE,0
S32-000006,MainFlowRate,FALSE,0,400113,400114,,,,,,FALSE,FALSE,0
S32-000007,FeederFlowRate,FALSE,0,400115,400116,,,,,,FALSE,FALSE,0
F32-000112,ChamberPressure,FALSE,0,400117,400118,,,,,,FALSE,FALSE,0
S32-000560,XYMove.LINVelocity,FALSE,20,400119,400120,,,,,,FALSE,FALSE,0
S32-000561,XYMove.LINRamps,FALSE,100,400121,400122,,,,,,FALSE,FALSE,0
S32-000544,XYMove.XPosition,FALSE,0,400123,400124,,,,,,FALSE,FALSE,0
S32-000548,XYMove.YPosition,FALSE,0,400125,400126,,,,,,FALSE,FALSE,0
S32-000490,NozzlePressure,FALSE,0,400157,400158,,,,,,FALSE,FALSE,0
